year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1990, 롯데, 23, 78, 216, 177, 20, 41, 8, 1, 1, 54, 15, 6, 3, 1, 0, 31, 5, 16, 1, 0.232, 0.315, 0.305, 0.620, 0.280, 65.9
1991, 롯데, 24, 81, 190, 158, 20, 34, 6, 1, 3, 51, 16, 3, 1, 8, 0, 24, 2, 15, 2, 0.215, 0.280, 0.323, 0.603, 0.262, 55.8
1992, 롯데, 25, 100, 320, 280, 30, 80, 17, 3, 6, 121, 40, 2, 4, 8, 0, 50, 8, 9, 3, 0.286, 0.347, 0.432, 0.779, 0.346, 106.1
1993, 롯데, 26, 124, 428, 379, 36, 91, 23, 3, 1, 123, 38, 6, 3, 6, 0, 64, 7, 13, 3, 0.240, 0.299, 0.325, 0.623, 0.288, 83.3
1994, 롯데, 27, 126, 488, 420, 55, 114, 23, 5, 12, 183, 57, 25, 10, 13, 2, 71, 8, 4, 6, 0.271, 0.355, 0.436, 0.791, 0.360, 128.0
1995, 롯데, 28, 126, 476, 390, 60, 103, 14, 6, 4, 141, 50, 22, 5, 22, 3, 68, 5, 8, 4, 0.264, 0.378, 0.362, 0.740, 0.341, 119.5
1996, 롯데, 29, 114, 344, 299, 37, 75, 18, 1, 4, 107, 34, 8, 3, 13, 0, 67, 5, 8, 6, 0.251, 0.316, 0.358, 0.673, 0.307, 93.0
1997, 롯데, 30, 79, 235, 207, 19, 51, 13, 1, 1, 69, 20, 9, 1, 3, 1, 32, 4, 7, 2, 0.246, 0.307, 0.333, 0.640, 0.287, 75.2
1998, 롯데, 31, 120, 428, 364, 42, 89, 12, 2, 6, 123, 42, 12, 9, 9, 2, 75, 9, 12, 5, 0.245, 0.327, 0.338, 0.665, 0.297, 82.8
1999, 롯데, 32, 124, 275, 238, 28, 51, 13, 2, 2, 74, 21, 9, 5, 11, 0, 54, 3, 8, 2, 0.214, 0.292, 0.311, 0.603, 0.271, 51.4
2000, 롯데, 33, 112, 177, 149, 16, 31, 4, 1, 1, 40, 13, 4, 2, 0, 0, 44, 5, 10, 1, 0.208, 0.287, 0.268, 0.556, 0.250, 39.0
