year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1994, 쌍방울, 23, 86, 247, 223, 26, 61, 5, 1, 4, 80, 13, 15, 6, 1, 0, 15, 4, 10, 1, 0.274, 0.312, 0.359, 0.671, 0.301, 87.5
1995, 쌍방울, 24, 38, 95, 87, 14, 20, 5, 1, 1, 30, 7, 3, 2, 0, 0, 7, 3, 3, 0, 0.230, 0.272, 0.345, 0.617, 0.275, 73.4
1996, 쌍방울, 25, 122, 336, 284, 39, 76, 7, 1, 2, 91, 29, 8, 5, 6, 2, 28, 8, 22, 3, 0.268, 0.328, 0.320, 0.648, 0.285, 77.8
1997, 쌍방울, 26, 126, 489, 424, 61, 136, 18, 9, 5, 187, 49, 15, 7, 2, 3, 48, 13, 33, 6, 0.321, 0.355, 0.441, 0.796, 0.333, 106.8
1998, 쌍방울, 27, 126, 536, 479, 80, 149, 20, 4, 12, 213, 62, 23, 6, 7, 3, 46, 15, 12, 3, 0.311, 0.365, 0.445, 0.809, 0.354, 122.6
1999, 쌍방울, 28, 47, 202, 188, 25, 59, 9, 2, 6, 90, 22, 11, 2, 1, 0, 32, 1, 1, 0, 0.314, 0.358, 0.479, 0.837, 0.366, 114.4
2000, SK, 29, 29, 88, 77, 5, 17, 0, 0, 1, 20, 10, 0, 1, 0, 0, 13, 4, 2, 3, 0.221, 0.267, 0.260, 0.527, 0.241, 32.9
2001, SK, 30, 111, 363, 307, 43, 75, 15, 1, 7, 113, 39, 7, 3, 4, 2, 48, 2, 6, 4, 0.244, 0.339, 0.368, 0.707, 0.322, 81.9
2002, SK, 31, 116, 329, 297, 42, 80, 8, 2, 8, 116, 36, 4, 3, 6, 0, 44, 4, 7, 2, 0.269, 0.320, 0.391, 0.710, 0.312, 88.5
2003, SK, 32, 128, 518, 452, 65, 127, 18, 0, 8, 169, 48, 13, 5, 14, 1, 65, 7, 13, 4, 0.281, 0.349, 0.374, 0.722, 0.326, 91.3
2004, SK, 33, 119, 463, 386, 59, 107, 17, 2, 3, 137, 35, 5, 6, 11, 0, 49, 3, 20, 4, 0.277, 0.361, 0.355, 0.716, 0.326, 90.4
2005, SK|한화, 34, 95, 392, 351, 43, 106, 17, 1, 6, 143, 42, 7, 3, 4, 0, 50, 5, 3, 3, 0.302, 0.363, 0.407, 0.770, 0.354, 114.3
, SK, 34, 26, 88, 79, 9, 23, 4, 0, 1, 30, 10, 1, 1, 1, 0, 9, 1, 1, 2, 0.291, 0.333, 0.380, 0.713, 0.325, 94.5
, 한화, 34, 69, 304, 272, 34, 83, 13, 1, 5, 113, 32, 6, 2, 3, 0, 41, 4, 2, 1, 0.305, 0.371, 0.415, 0.786, 0.363, 119.7
2006, 한화, 35, 106, 391, 341, 48, 91, 10, 0, 1, 104, 25, 6, 2, 5, 0, 45, 6, 11, 4, 0.267, 0.332, 0.305, 0.637, 0.298, 85.1
2007, 한화, 36, 114, 359, 319, 36, 85, 15, 1, 4, 114, 26, 6, 1, 7, 0, 47, 9, 9, 1, 0.266, 0.329, 0.357, 0.686, 0.317, 91.0
2008, 한화, 37, 5, 5, 5, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0.200, 0.200, 0.200, 0.400, 0.191, 4.5
