year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1984, MBC, 24, 87, 311, 278, 25, 75, 15, 3, 0, 96, 31, 3, 2, 2, 3, 41, 6, 0, 4, 0.270, 0.334, 0.345, 0.680, 0.317, 98.4
1985, MBC, 25, 98, 395, 360, 33, 108, 23, 4, 5, 154, 51, 4, 4, 2, 3, 42, 7, 0, 4, 0.300, 0.352, 0.428, 0.780, 0.359, 125.1
1986, MBC, 26, 92, 402, 366, 43, 108, 13, 8, 2, 143, 42, 3, 1, 4, 3, 54, 5, 1, 4, 0.295, 0.347, 0.391, 0.737, 0.345, 123.7
1987, MBC, 27, 108, 436, 399, 37, 111, 17, 4, 10, 166, 57, 4, 1, 3, 2, 44, 9, 0, 3, 0.278, 0.333, 0.416, 0.749, 0.351, 116.5
1988, MBC, 28, 87, 341, 305, 36, 108, 15, 4, 8, 155, 52, 2, 3, 4, 5, 20, 7, 0, 0, 0.354, 0.422, 0.508, 0.931, 0.425, 168.8
1989, MBC, 29, 103, 421, 371, 36, 104, 15, 2, 5, 138, 57, 11, 5, 2, 4, 18, 13, 3, 7, 0.280, 0.345, 0.372, 0.717, 0.337, 106.1
1990, LG, 30, 100, 409, 360, 52, 116, 23, 3, 6, 163, 58, 7, 4, 6, 3, 32, 14, 1, 6, 0.322, 0.387, 0.453, 0.840, 0.390, 141.0
1991, LG, 31, 101, 396, 361, 37, 92, 17, 2, 7, 134, 41, 2, 1, 5, 1, 34, 18, 0, 2, 0.255, 0.316, 0.371, 0.687, 0.321, 94.2
1992, LG, 32, 126, 529, 472, 63, 138, 21, 1, 14, 203, 77, 9, 2, 2, 6, 60, 13, 1, 8, 0.292, 0.352, 0.430, 0.782, 0.352, 110.6
1993, LG, 33, 126, 505, 460, 59, 131, 28, 0, 12, 195, 71, 3, 1, 6, 5, 52, 12, 0, 2, 0.285, 0.345, 0.424, 0.769, 0.358, 135.1
1994, 해태, 34, 56, 200, 186, 16, 43, 13, 0, 1, 59, 16, 1, 1, 0, 0, 25, 6, 1, 1, 0.231, 0.276, 0.317, 0.594, 0.277, 71.3
1995, 해태, 35, 59, 200, 183, 12, 47, 10, 0, 2, 63, 19, 1, 0, 2, 1, 32, 3, 1, 1, 0.257, 0.312, 0.344, 0.656, 0.302, 92.6
