year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2009, 삼성, 19, 97, 267, 242, 43, 59, 19, 0, 0, 78, 17, 18, 6, 2, 0, 51, 7, 1, 1, 0.244, 0.308, 0.322, 0.631, 0.294, 62.8
2010, 삼성, 20, 101, 338, 282, 37, 69, 7, 3, 0, 82, 22, 30, 6, 12, 0, 45, 10, 12, 1, 0.245, 0.344, 0.291, 0.634, 0.300, 72.3
2011, 삼성, 21, 128, 476, 406, 53, 113, 16, 4, 2, 143, 47, 29, 7, 7, 1, 61, 7, 15, 1, 0.278, 0.362, 0.352, 0.715, 0.332, 98.0
2012, 삼성, 22, 129, 489, 419, 64, 115, 18, 4, 2, 147, 36, 25, 11, 7, 1, 56, 8, 16, 6, 0.274, 0.345, 0.351, 0.695, 0.321, 97.5
2013, 삼성, 23, 115, 422, 372, 57, 111, 17, 3, 7, 155, 44, 14, 5, 5, 1, 44, 7, 9, 6, 0.298, 0.354, 0.417, 0.770, 0.350, 105.8
2014, 삼성, 24, 128, 493, 427, 74, 123, 20, 8, 5, 174, 63, 53, 6, 7, 1, 77, 7, 10, 8, 0.288, 0.354, 0.407, 0.762, 0.339, 86.9
2015, 삼성, 25, 132, 518, 449, 67, 125, 30, 4, 8, 187, 63, 26, 5, 6, 0, 56, 9, 13, 7, 0.278, 0.345, 0.416, 0.761, 0.335, 89.9
2016, 삼성, 26, 105, 401, 358, 56, 97, 13, 0, 3, 119, 38, 6, 4, 8, 0, 39, 9, 8, 4, 0.271, 0.326, 0.332, 0.658, 0.304, 64.5
2017, 삼성, 27, 42, 154, 144, 17, 38, 7, 0, 3, 54, 13, 1, 1, 1, 0, 26, 4, 3, 1, 0.264, 0.291, 0.375, 0.666, 0.291, 62.8
2018, 삼성, 28, 122, 499, 453, 63, 119, 13, 1, 10, 164, 50, 12, 9, 8, 0, 91, 11, 8, 3, 0.263, 0.314, 0.362, 0.676, 0.299, 67.1
2019, 삼성, 29, 129, 543, 468, 76, 127, 20, 2, 5, 166, 38, 21, 3, 15, 1, 67, 14, 6, 4, 0.271, 0.358, 0.355, 0.712, 0.334, 100.0
2020, 삼성, 30, 120, 471, 404, 71, 123, 18, 3, 5, 162, 47, 10, 3, 8, 1, 55, 16, 2, 2, 0.304, 0.397, 0.401, 0.798, 0.372, 118.5
2021, 삼성, 31, 132, 496, 429, 46, 101, 17, 1, 3, 129, 42, 4, 2, 3, 0, 51, 14, 8, 4, 0.235, 0.320, 0.301, 0.620, 0.298, 71.7
2022, 삼성, 32, 16, 66, 57, 6, 10, 3, 0, 1, 16, 10, 1, 0, 0, 0, 10, 1, 0, 0, 0.175, 0.288, 0.281, 0.569, 0.276, 71.7
