year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2007, 롯데, 19, 4, 6, 6, 2, 1, 1, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.167, 0.167, 0.333, 0.500, 0.222, 22.2, -0.03
2008, 롯데, 20, 80, 250, 218, 31, 66, 11, 1, 3, 88, 17, 2, 3, 2, 0, 35, 4, 2, 0, 0.303, 0.387, 0.404, 0.791, 0.373, 126.6, 1.17
2009, 롯데, 21, 34, 96, 86, 11, 16, 4, 0, 3, 29, 4, 1, 1, 0, 0, 16, 3, 1, 0, 0.186, 0.263, 0.337, 0.600, 0.270, 45.7, -0.32
2010, 롯데, 22, 121, 487, 422, 85, 129, 23, 0, 11, 185, 47, 6, 2, 1, 0, 82, 2, 9, 5, 0.306, 0.377, 0.438, 0.815, 0.367, 116.7, 2.85
2011, 롯데, 23, 116, 492, 442, 79, 144, 25, 5, 15, 224, 83, 13, 4, 2, 1, 80, 6, 1, 4, 0.326, 0.385, 0.507, 0.892, 0.407, 147.9, 4.93
2012, 롯데, 24, 132, 556, 503, 61, 158, 26, 0, 5, 199, 58, 10, 5, 6, 4, 79, 7, 2, 4, 0.314, 0.370, 0.396, 0.766, 0.359, 124.7, 3.59
2013, 롯데, 25, 128, 568, 498, 83, 172, 23, 4, 11, 236, 69, 36, 7, 3, 6, 88, 9, 0, 3, 0.345, 0.421, 0.474, 0.895, 0.415, 148.9, 6.04
2014, 롯데, 26, 122, 570, 483, 105, 175, 25, 3, 18, 260, 80, 10, 3, 5, 7, 78, 7, 0, 2, 0.362, 0.456, 0.538, 0.994, 0.443, 154.6, 6.26
2015, 롯데, 27, 116, 517, 445, 86, 141, 28, 1, 13, 210, 54, 11, 6, 1, 3, 96, 6, 0, 3, 0.317, 0.406, 0.472, 0.878, 0.395, 131.1, 3.80
2016, 롯데, 28, 144, 672, 575, 118, 186, 33, 1, 16, 269, 81, 42, 4, 3, 1, 104, 4, 0, 2, 0.323, 0.418, 0.468, 0.886, 0.406, 131.0, 5.30
2017, 롯데, 29, 144, 667, 576, 113, 193, 35, 4, 20, 296, 80, 25, 8, 4, 8, 96, 7, 1, 3, 0.335, 0.420, 0.514, 0.934, 0.410, 140.0, 5.72
2018, 롯데, 30, 141, 625, 553, 109, 182, 32, 5, 26, 302, 93, 20, 3, 2, 1, 99, 15, 1, 1, 0.329, 0.404, 0.546, 0.950, 0.409, 138.6, 5.30
2019, 롯데, 31, 134, 568, 512, 78, 151, 22, 1, 10, 205, 63, 12, 8, 1, 1, 92, 6, 1, 2, 0.295, 0.360, 0.400, 0.760, 0.353, 113.8, 2.76
2020, 롯데, 32, 141, 611, 540, 98, 190, 43, 0, 11, 266, 85, 5, 0, 2, 4, 56, 9, 1, 7, 0.352, 0.415, 0.493, 0.907, 0.409, 140.2, 
2021, 롯데, 33, 139, 610, 542, 88, 173, 29, 2, 3, 215, 58, 11, 6, 3, 3, 67, 15, 3, 1, 0.319, 0.390, 0.397, 0.787, 0.373, 118.8, 3.33
2022, NC, 34, 38, 171, 155, 17, 48, 9, 0, 0, 57, 10, 3, 2, 1, 1, 26, 0, 0, 2, 0.310, 0.363, 0.368, 0.730, 0.342, 120.6, 0.70
