year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1996, 한화, 23, 122, 460, 394, 58, 113, 30, 4, 18, 205, 53, 10, 16, 9, 2, 81, 5, 12, 2, 0.287, 0.368, 0.520, 0.889, 0.390, 151.5, 4.16
1997, 한화, 24, 117, 474, 414, 46, 110, 26, 1, 14, 180, 45, 12, 10, 7, 3, 91, 8, 16, 2, 0.266, 0.332, 0.435, 0.767, 0.333, 106.4, 1.94
1998, 한화, 25, 126, 508, 432, 66, 116, 20, 0, 16, 184, 49, 25, 8, 19, 1, 99, 6, 10, 2, 0.269, 0.361, 0.426, 0.787, 0.350, 118.8, 3.28
1999, 한화, 26, 132, 515, 476, 76, 148, 24, 11, 22, 260, 74, 20, 18, 4, 0, 88, 7, 4, 3, 0.311, 0.352, 0.546, 0.899, 0.381, 123.3, 3.14
2000, 한화, 27, 120, 530, 468, 93, 158, 33, 2, 32, 291, 90, 20, 7, 7, 2, 72, 10, 0, 3, 0.338, 0.409, 0.622, 1.031, 0.443, 166.6, 6.44
2001, 한화, 28, 108, 391, 344, 55, 98, 19, 0, 22, 183, 69, 5, 6, 4, 4, 69, 9, 4, 3, 0.285, 0.357, 0.532, 0.889, 0.383, 121.3, 2.24
2002, 한화, 29, 131, 557, 488, 84, 142, 18, 2, 38, 278, 104, 8, 3, 9, 4, 136, 14, 0, 2, 0.291, 0.375, 0.570, 0.945, 0.405, 152.0, 5.57
2003, 한화, 30, 74, 317, 273, 41, 69, 16, 3, 9, 118, 34, 8, 6, 8, 0, 60, 3, 1, 1, 0.253, 0.351, 0.432, 0.784, 0.354, 111.1, 1.61
2004, 현대, 31, 132, 567, 486, 80, 129, 21, 0, 22, 216, 74, 6, 7, 9, 1, 127, 16, 9, 0, 0.265, 0.360, 0.444, 0.805, 0.363, 116.0, 2.90
2005, 현대, 32, 123, 510, 436, 70, 118, 22, 0, 24, 212, 74, 3, 3, 24, 0, 101, 9, 4, 3, 0.271, 0.366, 0.486, 0.852, 0.382, 133.4, 3.73
2006, 현대, 33, 119, 510, 441, 76, 119, 16, 0, 16, 183, 53, 8, 3, 13, 1, 69, 10, 12, 1, 0.270, 0.351, 0.415, 0.766, 0.351, 122.1, 3.21
2007, 현대, 34, 120, 478, 413, 54, 116, 25, 0, 15, 186, 64, 10, 4, 6, 5, 68, 12, 10, 5, 0.281, 0.355, 0.450, 0.805, 0.360, 120.5, 2.88
2008, 히어로즈, 35, 118, 451, 414, 48, 116, 18, 0, 13, 173, 62, 4, 5, 5, 1, 82, 11, 0, 4, 0.280, 0.330, 0.418, 0.748, 0.347, 107.8, 1.82
2009, 히어로즈, 36, 115, 439, 374, 69, 108, 15, 3, 22, 195, 67, 10, 3, 8, 1, 122, 10, 1, 4, 0.289, 0.384, 0.521, 0.905, 0.396, 130.9, 3.37
2010, 넥센, 37, 127, 432, 375, 52, 109, 15, 1, 17, 177, 63, 5, 2, 8, 4, 85, 5, 2, 6, 0.291, 0.367, 0.472, 0.839, 0.374, 121.3, 2.69
2011, 넥센, 38, 106, 350, 301, 43, 80, 8, 1, 9, 117, 43, 9, 1, 3, 3, 78, 5, 5, 3, 0.266, 0.351, 0.389, 0.739, 0.340, 103.5, 1.62
2012, 넥센, 39, 14, 46, 40, 2, 7, 0, 0, 0, 7, 4, 2, 0, 1, 0, 9, 3, 0, 1, 0.175, 0.261, 0.175, 0.436, 0.224, 30.0, -0.18
2013, 넥센, 40, 34, 56, 51, 6, 14, 1, 0, 2, 21, 8, 0, 0, 1, 0, 14, 1, 0, 0, 0.275, 0.339, 0.412, 0.751, 0.352, 106.6, 0.23
