,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, OB,23,91,248,225,29,68,14,5,7,113,24,3,4,4,3,39,2,1,0,0.302,0.364,0.502,0.867,0.392,146.5,2.26
1,1,1, OB,24,107,405,364,44,104,8,5,8,146,47,8,8,3,2,51,8,6,7,0.28600000000000003,0.331,0.401,0.732,0.337,117.6,2.32
2,2,2, OB,25,81,337,301,34,95,16,5,3,130,45,7,5,2,2,38,10,2,6,0.316,0.3670000000000001,0.4320000000000001,0.799,0.37,130.9,2.5
3,3,3, OB,26,36,121,114,5,25,3,0,0,28,8,2,0,0,1,12,2,0,1,0.219,0.256,0.246,0.502,0.237,37.1,-0.44
4,4,4, OB,27,117,468,423,44,121,22,2,10,177,57,5,4,1,7,54,8,2,1,0.28600000000000003,0.35,0.418,0.768,0.358,120.8,2.79
5,5,5, OB,28,120,483,429,49,120,18,3,12,180,61,5,5,1,5,53,9,2,8,0.28,0.341,0.42,0.7609999999999999,0.35,113.1,3.27
6,6,6, OB,29,126,531,473,62,136,19,9,11,206,71,3,4,2,12,49,12,2,4,0.28800000000000003,0.355,0.436,0.7909999999999999,0.35600000000000004,118.7,3.16
7,7,7, OB,30,126,518,459,61,129,27,5,16,214,71,3,5,2,7,55,15,1,2,0.281,0.35700000000000004,0.466,0.823,0.366,120.5,2.62
8,8,8, OB,31,126,529,480,47,147,23,4,10,208,62,2,4,0,6,61,12,1,2,0.306,0.366,0.433,0.799,0.371,145.1,4.48
9,9,9, OB,32,114,444,393,37,103,13,0,6,134,51,3,1,4,5,56,13,2,5,0.262,0.333,0.341,0.674,0.313,95.7,0.93
10,10,10, OB,33,121,464,423,50,114,29,2,10,177,68,2,1,1,0,71,16,2,6,0.27,0.318,0.418,0.737,0.333,114.6,2.02
11,11,11, OB,34,120,475,434,46,106,16,4,14,172,48,2,0,0,6,77,14,3,1,0.244,0.303,0.396,0.6990000000000001,0.315,98.7,1.33
12,12,12, OB,35,111,362,321,38,75,13,0,12,124,43,0,4,0,3,65,7,2,3,0.234,0.308,0.386,0.695,0.312,91.5,0.42
13,13,13, 삼성,36,20,28,27,2,2,0,0,0,2,0,0,0,0,0,5,0,0,0,0.07400000000000001,0.107,0.07400000000000001,0.181,0.091,-57.3,-0.45
