,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, OB,19,60,123,112,10,30,3,1,4,47,18,1,0,2,0,28,2,0,2,0.268,0.317,0.42,0.737,0.337,113.3,1.08
1,1,1, OB,20,95,307,283,38,82,12,0,14,136,48,1,1,3,1,53,9,1,3,0.29,0.333,0.481,0.8140000000000001,0.364,137.6,3.39
2,2,2, OB,21,6,18,18,1,4,1,0,0,5,1,0,0,0,0,3,2,0,0,0.222,0.222,0.278,0.5,0.231,37.3,-0.01
3,3,3, OB,22,81,229,208,17,44,9,1,5,70,34,1,0,4,0,37,4,1,4,0.212,0.263,0.337,0.6,0.272,63.3,0.6
4,4,4, 두산,25,69,138,125,9,33,6,1,2,47,19,0,0,0,0,20,2,1,2,0.264,0.314,0.376,0.69,0.309,78.1,0.58
5,5,5, 두산,26,40,93,86,6,22,7,1,2,37,13,0,0,2,0,16,4,0,0,0.256,0.312,0.43,0.742,0.334,89.7,0.52
6,6,6, 한화,27,123,392,365,36,88,15,0,16,151,55,2,1,2,2,66,10,2,3,0.241,0.282,0.414,0.696,0.301,81.6,1.81
7,7,7, 한화,28,125,420,365,40,97,19,0,16,164,58,0,1,4,3,46,13,10,4,0.266,0.337,0.449,0.7859999999999999,0.34,101.8,2.86
8,8,8, 한화,29,66,183,165,10,43,8,0,6,69,27,0,0,2,0,29,6,2,2,0.261,0.315,0.418,0.733,0.33,93.6,1.07
9,9,9, 한화,30,113,431,391,43,101,18,1,22,187,72,0,0,9,0,75,15,0,1,0.258,0.325,0.478,0.8029999999999999,0.36,118.2,1.63
10,10,10, 한화,31,119,466,426,46,109,22,0,19,188,63,0,2,6,0,68,7,5,3,0.256,0.306,0.441,0.747,0.34,114.1,1.48
11,11,11, 한화,32,79,199,177,18,33,4,0,6,55,26,0,0,1,1,29,11,0,1,0.18600000000000005,0.271,0.311,0.5820000000000001,0.275,62.0,-0.57
12,12,12, 한화,33,54,71,67,2,15,1,0,2,22,16,0,0,0,0,16,3,0,1,0.224,0.254,0.328,0.5820000000000001,0.27,57.1,-0.05
13,13,13, 한화,34,98,320,280,33,89,15,1,12,142,56,0,0,2,0,40,11,0,1,0.318,0.4,0.507,0.907,0.405,136.3,3.5
14,14,14, 한화,35,27,96,86,8,25,2,0,4,39,13,0,0,2,0,11,0,0,1,0.29100000000000004,0.354,0.453,0.8079999999999999,0.366,116.1,0.35
