,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, 두산,18,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-131.2, -0.02
1,1,1, 두산,19,99,353,319,33,87,19,3,5,127,32,5,2,5,1,46,12,1,2,0.273,0.335,0.398,0.733,0.34,107.4, 1.62
2,2,2, 두산,20,126,558,470,83,168,34,5,9,239,89,13,8,5,1,40,12,0,2,0.35700000000000004,0.454,0.509,0.963,0.446,176.5, 7.14
3,3,3, 두산,21,133,572,482,97,172,31,6,23,284,104,6,6,4,5,59,7,0,6,0.35700000000000004,0.448,0.589,1.037,0.452,169.5, 6.88
4,4,4, 두산,22,132,565,473,88,150,29,0,24,251,89,4,8,6,6,64,9,0,8,0.317,0.414,0.531,0.945,0.419,152.0, 5.24
5,5,5, 두산,23,130,561,475,71,143,25,2,13,211,91,5,3,6,9,63,15,0,9,0.301,0.392,0.444,0.836,0.384,133.4, 4.20
6,6,6, 두산,24,122,491,437,47,127,17,1,7,167,65,6,3,3,2,50,9,0,5,0.29100000000000004,0.359,0.382,0.741,0.35,118.2, 2.76
7,7,7, 두산,25,122,510,434,63,131,23,1,16,204,90,2,4,2,10,71,6,0,12,0.302,0.382,0.47,0.852,0.384,129.2, 3.40
8,8,8, 두산,26,125,528,463,75,149,26,0,17,226,90,2,0,7,5,45,10,0,5,0.322,0.396,0.488,0.884,0.393,132.2, 4.13
9,9,9, 두산,27,141,630,512,103,167,26,0,28,277,121,11,5,8,12,63,13,0,9,0.326,0.438,0.541,0.979,0.4270000000000001,163.2, 6.70
10,10,10, LG,30,117,511,453,95,164,39,2,20,267,101,1,3,1,6,61,9,0,10,0.362,0.415,0.589,1.004,0.424,155.2, 4.79
11,11,11, LG,31,140,595,526,75,160,37,0,11,230,82,3,1,6,9,52,11,0,9,0.304,0.37,0.4370000000000001,0.807,0.366,126.1, 3.61
12,12,12, LG,32,142,619,547,98,181,35,2,22,286,119,0,2,2,7,53,9,0,7,0.331,0.397,0.523,0.92,0.407,148.4, 
13,13,13, LG,33,140,595,506,70,144,23,1,17,220,97,3,0,3,5,42,7,0,9,0.285,0.377,0.435,0.8109999999999999,0.375,128.3, 3.31
14,14,14, LG,34,37,156,137,26,43,10,0,7,74,25,0,1,3,3,17,1,0,0,0.314,0.397,0.54,0.938,0.422,184.4, 1.97
